time,open,high,low,close,volume
2016-12-29,1.2228,1.228,1.2212,1.2263,0
2016-12-30,1.2263,1.2389,1.2245,1.2338,0
2017-01-02,1.2345,1.2354,1.2268,1.2275,0
2017-01-03,1.2274,1.2308,1.22,1.2239,0
2017-01-04,1.2237,1.2356,1.2222,1.2322,0
2017-01-05,1.2326,1.2436,1.2272,1.2418,0
2017-01-06,1.2424,1.2437,1.2264,1.2287,0
2017-01-09,1.2268,1.2273,1.2124,1.2162,0
2017-01-10,1.2162,1.2191,1.2105,1.2177,0
2017-01-11,1.2176,1.227,1.2037,1.2212,0
2017-01-12,1.2208,1.2318,1.215,1.2163,0
2017-01-13,1.2158,1.2234,1.2122,1.2179,0
2017-01-16,1.2064,1.209,1.1985,1.2048,0
2017-01-17,1.2044,1.2415,1.2014,1.2413,0
2017-01-18,1.2414,1.2417,1.2252,1.2259,0
2017-01-19,1.2257,1.2343,1.2251,1.2342,0
2017-01-20,1.2342,1.2381,1.226,1.2375,0
2017-01-23,1.2363,1.2546,1.2356,1.2535,0
2017-01-24,1.2534,1.2546,1.2415,1.2521,0
2017-01-25,1.2525,1.2643,1.2492,1.2634,0
2017-01-26,1.2638,1.268,1.2562,1.2593,0
2017-01-27,1.2599,1.2614,1.2523,1.2555,0
2017-01-30,1.2552,1.2604,1.2466,1.2486,0
2017-01-31,1.2485,1.2598,1.2412,1.2579,0
2017-02-01,1.2587,1.2686,1.2549,1.2658,0
2017-02-02,1.2664,1.2715,1.2522,1.2528,0
2017-02-03,1.2525,1.2539,1.2458,1.2488,0
2017-02-06,1.2491,1.251,1.2424,1.247,0
2017-02-07,1.2465,1.2547,1.2346,1.2511,0
2017-02-08,1.2508,1.2551,1.2474,1.2539,0
2017-02-09,1.2542,1.2585,1.249,1.2496,0
2017-02-10,1.2498,1.2524,1.2438,1.2491,0
2017-02-13,1.2474,1.2541,1.247,1.2528,0
2017-02-14,1.2526,1.255,1.2443,1.247,0
2017-02-15,1.2471,1.2482,1.2381,1.2459,0
2017-02-16,1.2462,1.2527,1.2454,1.249,0
2017-02-17,1.249,1.2513,1.2388,1.2414,0
2017-02-20,1.241,1.2483,1.2401,1.2461,0
2017-02-21,1.2458,1.2482,1.2398,1.2473,0
2017-02-22,1.2471,1.2509,1.2423,1.2451,0
2017-02-23,1.2443,1.2562,1.2428,1.2555,0
2017-02-24,1.2554,1.2572,1.2447,1.2468,0
2017-02-27,1.2467,1.2486,1.2384,1.2444,0
2017-02-28,1.2443,1.247,1.2369,1.2381,0
2017-03-01,1.2382,1.2406,1.2279,1.2295,0
2017-03-02,1.2289,1.2308,1.2242,1.2267,0
2017-03-03,1.227,1.2304,1.2217,1.2295,0
2017-03-06,1.2294,1.2302,1.2223,1.2236,0
2017-03-07,1.2235,1.2253,1.2168,1.22,0
2017-03-08,1.2199,1.2216,1.214,1.217,0
2017-03-09,1.2166,1.2195,1.2134,1.2167,0
2017-03-10,1.2168,1.219,1.214,1.2171,0
2017-03-13,1.2162,1.2252,1.2149,1.2219,0
2017-03-14,1.2219,1.2228,1.2108,1.2154,0
2017-03-15,1.2153,1.2309,1.2139,1.2292,0
2017-03-16,1.2289,1.2378,1.2241,1.236,0
2017-03-17,1.2359,1.2406,1.2323,1.2394,0
2017-03-20,1.24,1.2437,1.2335,1.2358,0
2017-03-21,1.2358,1.2496,1.234,1.2479,0
2017-03-22,1.2477,1.2507,1.2423,1.2484,0
2017-03-23,1.2484,1.2532,1.2461,1.2521,0
2017-03-24,1.2521,1.2524,1.2468,1.247,0
2017-03-27,1.2487,1.2618,1.2476,1.2556,0
2017-03-28,1.2559,1.2598,1.2439,1.245,0
2017-03-29,1.2447,1.2476,1.2377,1.2434,0
2017-03-30,1.2433,1.2529,1.2405,1.2469,0
2017-03-31,1.2472,1.2562,1.2436,1.255,0
2017-04-03,1.254,1.2556,1.2464,1.2487,0
2017-04-04,1.2488,1.2496,1.2418,1.2441,0
2017-04-05,1.244,1.2501,1.2423,1.2483,0
2017-04-06,1.2486,1.2508,1.2451,1.247,0
2017-04-07,1.2468,1.2478,1.2363,1.2373,0
2017-04-10,1.2384,1.2432,1.2367,1.2414,0
2017-04-11,1.2412,1.2497,1.2404,1.2491,0
2017-04-12,1.2491,1.255,1.2479,1.254,0
2017-04-13,1.2537,1.2575,1.2497,1.2506,0
2017-04-14,1.2503,1.2537,1.25,1.2524,0
2017-04-17,1.2531,1.2599,1.2526,1.2565,0
2017-04-18,1.2569,1.2909,1.2518,1.2841,0
2017-04-19,1.2839,1.2862,1.2768,1.2779,0
2017-04-20,1.2782,1.2851,1.2775,1.2813,0
2017-04-21,1.2813,1.2835,1.2759,1.2813,0
2017-04-24,1.2842,1.2871,1.277,1.2794,0
2017-04-25,1.2795,1.2846,1.2772,1.2841,0
2017-04-26,1.284,1.2864,1.2804,1.2847,0
2017-04-27,1.2846,1.2916,1.2836,1.2904,0
